Gene	Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells
EREG	0.64048	0.44664	0.48059	19.643	0.76508	1.49
F13A1	0.2948	0.05648	0.21703	87.838	1.7852	0.25345
F2RL3	0.13221	0.071892	0.077508	0.18756	0.074349	0.34146
F3	0.26437	0.14377	0.23251	1.5632	0.24428	0.31549
FBLN1	0.19319	0.21565	0.17568	0.093794	0.13807	0.31554
FCER2	349.12	0.10783	0.30487	3.9909	0.79658	0.062083
FCRL2	196.13	0.6366	0.74919	0.59402	1.933	1.19
FCRL5	83.987	0.061608	0.06717	0.072941	0.10621	0.10348
FFAR2	0.14233	0.087283	0.12916	21.571	764.46	0.17585
FGFBP2	0.2542	2.7006	94.84	0.18757	0.23368	1000.3
FLT1	0.73215	0.18997	0.20669	0.10421	0.73282	0
FLT4	0.061025	3.943	12.21	0.052096	0.053103	0.20177
FOXP3	0.51852	23.088	1.9377	0.47139	0	0.58463
FPR3	0	0	0	2.6365	0	0
GCNT4	0	7.9375	4.4229	0	0	0.42422
GNLY	1.0775	19.795	541.78	3.1159	2.103	9102.6
GNPTAB	16.148	14.699	22.326	15.883	3.3988	138.19
GPR182	0.040664	0.020533	0.06717	0.062532	0	0.15003
GPR4	0	0	0	0	0.031861	0.031041
HAMP	0.31521	0	0	0.521	0	0
HAUS3	22.969	52.88	68.862	7.1585	8.1246	64.355
HIST1H2BC	1.3625	0.78555	1.1884	2.188	148.64	1.8157
HIST1H3D	0.88462	0.41074	0.80601	0.58364	29.06	1.0863
IL1B	0.64852	0.30809	0.50639	794.59	121.78	0.5534
IL2RA	9.8944	26.864	2.3044	0.041684	0.063756	2.5968
IL7R	1.1591	504.57	350.46	0.85454	1.9867	26.899
ISLR	0	0	0	0	0	0
ITK	0.53888	240.59	191.87	0.45857	0.74349	116.92
JAKMIP1	0.69119	6.1719	13.787	0	0	8.8096
KDR	0	0	0	0	0	0.010342
KLRF1	1.0981	0.5391	15.831	0.54189	0.33991	472.12
KY	0	0	0.010332	0.020842	6.575	0
LILRB4	1.7178	0.08729	0.2015	108.08	5.5862	0.31551
LUM	0	0	0	0	0	0
MDS2	4.5141	11.054	3.8127	0.041697	0.04248	0.067243
MEG3	0.37613	0.29265	0.41342	0.41697	0.53095	0.69841
MFAP5	0.80321	0.68815	0.63034	0.53153	0.72217	1.2623
MMP25	0.63039	2.1767	2.9919	19.475	1470.5	14.74
MMRN1	0.68115	0.22081	0.036167	0	0	1.4435
MMRN2	0.86412	2.3312	1.669	0.67742	0	0.39843
MS4A1	2240	1.0219	5.1515	0.36474	0.37175	1.3915
MS4A6A	1.7485	1.4223	0.78548	1026.3	57.034	5.9124
MSR1	0.23384	0	0.015499	9.2051	0	0
MYCT1	0	0	0	0	0	0.041388
NAA16	20.8	44.247	57.586	18.124	6.9603	45.882
NAGA	7.6774	7.1568	7.0791	132.06	2.7414	13.172
NCR1	0	0.17969	5.6014	0.33342	1.6789	120.81
NMUR1	0.13217	0.44156	6.6404	0.10421	0.13811	111.7
PAX5	184.46	0.025672	0.046507	0.020844	0.021241	0.031039
PGLYRP1	0.18298	0.15403	0.18085	0.2084	209.31	0.26377
POU2AF1	252.76	2.0435	0.60969	0.19006	0.34945	0.59488
PRELP	0.12199	0.082147	0.087836	0.07294	0.1593	0.2017
PTGIS	0	0	0	0	0	0
PTPRB	0.30494	0.030805	0.041342	0.020843	0.02124	1.5261
RCAN3	17.616	107.62	62.004	6.6903	0.095581	2.1057
RHOJ	0	0	0	0	0.042496	0
S1PR5	0.082697	1.2475	36.264	0.031261	0	340.25
SFRP2	0	0	0	0	0.084971	0
SFRP4	0	0	0	0	0	0.44492
SH2D1B	0.040672	0.02567	1.4673	0.60444	0.20179	300.18
SIGLEC1	0.020333	0.020538	0.025838	16.458	0.13805	0.031039
SLC12A1	0	0	0	0	0.46733	0
SLC37A2	3.9748	0.72909	0.80091	37.829	2.3271	1.7694
SLCO2A1	0	0	0	0	0	0
SOX18	0	0	0	0	0	0
STAB2	0.020331	0	0	0	0	0
STAP1	91.217	4.2977	0.63042	0.093808	0.040818	9.6176
SYNPO2	0.18302	0.19511	0.1705	0.36051	0.19119	0.33109
TAS2R40	0	0	0	0.22928	7.3707	0
TBC1D4	2.4199	67.44	28.761	3.0739	0.074349	1.6138
TCL1A	405.26	0.11809	0.077499	0.052106	0	0.13969
THEMIS	0	27.776	47.704	0.020841	0	0.36213
TMEM119	0.040669	3.2504	2.4389	1.0316	4.2077	1.2415
TRAT1	0.040664	80.928	27.2	0	0	1.79
TSPYL1	71.742	73.845	114.85	20.916	21.166	100.34
UBASH3A	0.040668	58.641	45.634	0	0	0.40349
VSIG4	0.061008	0	0.12401	8.45	0.86027	0
VWF	0	0	0.0051659	0.6982	0.83918	0.036214
